id,english_title,japanese_title,img_brightness
1,The Great Wave off Kanagawa,神奈川沖浪裏,0.61
2,South Wind, Clear Sky,0.44
3,Thunderstorm Beneath the Summit,山下白雨,0.34
4,Under Mannen Bridge at Fukagawa,深川万年橋下,0.66
5,"Sundai, Edo",東都駿台,0.64
6,Cushion Pine at Aoyama,青山円座松,0.55
7,"Senju, Musashi Butt",武州千住,0.63
8,"Inume Pass, Kōshū",甲州犬目峠,0.69
9,Fuji View Field in Owari Province,尾州不二見原,0.71
10,Ejiri in Suruga Province,駿州江尻,0.68
11,A sketch of the Mitsui shop in Suruga,駿河町三井見世略図,0.63
12,Sunset Across the Ryōgoku Bridge from the Bank of the Sumida River at Onmayagashi,御厩川岸より両國橋夕陽見,0.61
13,Sazai hall – Temple of Five Hundred Rakan,五百らかんさゞゐ堂,0.66
14,Tea house at Koishikawa,江都駒込之圓,0.65
15,The Watermill at Onden,御殿山の水車小屋,0.69
16,Enoshima in Sagami Province,相州江の島,0.67
17,Mishima Pass in Kai Province,甲州三嶌越,0.62
18,Tama River in Musashi Province,武州玉川,0.67
19,Kajikazawa in Kai Province,甲州石班澤,0.67
20,Hodogaya on the Tokaido,東海道程ヶ谷,0.69
21,Shore of Tago Bay,駿州田子浦略図,0.71
22,Hara in Suruga Province,駿州原,0.69
23,View of Mt Fuji from Ommaya,駿州大宮ノ不二,0.65
24,View from Ushibori,常州牛堀,0.59
25,Tsukuda Island in Musashi Province,武州佃島,0.7
26,Totsuka on the Tokaido,東海道戸塚,0.62
27,Koshigaya in Musashi Province,武州越ヶ谷,0.65
28,Hodogaya in Musashi Province,武州程ヶ谷,0.65
29,Yoshida at Tōkaidō Road,東海道吉田,0.67
30,Mount Fuji Reflected in Lake Kawaguchi,甲州三坂水面,0.71
31,Asakusa Hongan-ji temple in the Eastern capital,東都浅草本願寺,0.6
32,Sunrise at Isawa,甲斐磐曽嶺,0.59
33,Outskirts of Sekiya, in Musashi Province,0.69
34,Zoshigaya in Edo,江戸雑司ヶ谷,0.69
35,Descending Geese from the Ferry at Subashiri,駿州須走,0.75
36,In the Mountains of Totomi Province,遠江山中,0.67
